,Angra dos Reis,Aparecida,Arapei,Areias,Atibaia,Bananal,Braganca Paulista,Cacapava,Cachoeira Paulista,Campos do Jordao,Canas,Caraguatatuba,Cruzeiro,Cunha,Extrema,Guaratingueta,Guarulhos,Igarata,Ilhabela,Itajuba,Itatiaia,Jacarei,Jambeiro,Lagoinha,Lorena,Mogi das Cruzes,Monteiro Lobato,Natividade da Serra,Paraibuna,Paraisopolis,Paraty,Pindamonhangaba,Piquete,Porto Real,Potim,Queluz,Redencao da Serra,Roseira,Santa Branca,Santo Antonio do Pinhal,Sao Jose dos Campos,Sao Luiz do Paraitinga,Silveiras,Suzano,Sao Bento do Sapucai,Sao Jose do Barreiro,Sao Sebastiao,Taubate,Tremembe,Ubatuba
Angra dos Reis,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aparecida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Arapei,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Areias,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,18,0,0,16,0,0,0,0
Atibaia,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,53,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bananal,103,0,22,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
Braganca Paulista,0,0,0,0,25,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cacapava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,21,0,0
Cachoeira Paulista,0,0,0,0,0,127,0,0,0,0,8,0,18,0,0,0,0,0,0,76,0,0,0,0,18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
Campos do Jordao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,30,0,0,49,0,45,0,0,0,0,0,0,0,22,0,0,0,0,40,0,0,0,37,0
Canas,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraguatatuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,50
Cruzeiro,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,92,52,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cunha,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,32,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Extrema,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaratingueta,0,8,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,81,14,0,0,0,0,0,97,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guarulhos,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
Igarata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,44,0,0,0,0,0,0,0,0,0
Ilhabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Itajuba,0,0,0,0,0,0,0,0,76,56,0,0,92,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
Itatiaia,0,0,0,0,0,72,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacarei,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,64,35,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,0
